플랫폼	날짜	순위	게임명	퍼블리셔
구글플레이	2025-07-09	86	배틀그라운드	KRAFTON, Inc.
구글플레이	2025-07-09	87	뮤 모나크2	Webzen Inc.
구글플레이	2025-07-09	88	레이싱 마스터(Racing Master)	Exptional Global
구글플레이	2025-07-09	89	이세계 판타지 라이프	ESTARGAMES
구글플레이	2025-07-09	90	MLB 9이닝스 25	Com2uS
구글플레이	2025-07-09	91	미르2: 깨어난 사북성	HK ZHILI YAOAN LIMITED
구글플레이	2025-07-09	92	라이즈 오브 킹덤즈	LilithGames
구글플레이	2025-07-09	93	뮤 모나크	Webzen Inc.
구글플레이	2025-07-09	94	에이지 오브 제트: 타워 디펜스	CamelStudio
구글플레이	2025-07-09	95	패밀리 아일랜드 - 농장모험게임	Melsoft Games Ltd
구글플레이	2025-07-09	96	카트라이더 러쉬플러스	NEXON Company
구글플레이	2025-07-09	97	WPL : 홀덤, 토너먼트, 오마하, 올인폴드, 픽앤고	Zempot INC.
구글플레이	2025-07-09	98	인생존망겜	37GAMES
구글플레이	2025-07-09	99	포켓몬 카드 게임 Pocket	The Pok?mon Company
구글플레이	2025-07-09	100	맛있는 여행: 합성 게임	Century Games PTE. LTD.
구글플레이	2025-07-10	1	리니지M	NCSOFT
구글플레이	2025-07-10	2	오딘: 발할라 라이징	Kakao Games Corp.
구글플레이	2025-07-10	3	마비노기 모바일	NEXON Company
구글플레이	2025-07-10	4	WOS: 화이트아웃 서바이벌	Century Games PTE. LTD.
구글플레이	2025-07-10	5	라스트 워: 서바이벌	FUNFLY PTE. LTD.
구글플레이	2025-07-10	6	RF 온라인 넥스트	Netmarble
구글플레이	2025-07-10	7	붕괴: 스타레일	COGNOSPHERE PTE. LTD.
구글플레이	2025-07-10	8	세븐나이츠 리버스	Netmarble
구글플레이	2025-07-10	9	갓깨비 키우기-999뽑기 증정	Joy Nice Games
구글플레이	2025-07-10	10	Roblox	Roblox Corporation
구글플레이	2025-07-10	11	로얄 매치 Royal Match	Dream Games, Ltd.
구글플레이	2025-07-10	12	한게임포커 클래식 : 7포커 홀덤 섯다 훌라 슬롯	NHN Corp.
구글플레이	2025-07-10	13	한게임 포커	NHN Corp.
구글플레이	2025-07-10	14	리니지W	NCSOFT
구글플레이	2025-07-10	15	Last Z: Survival Shooter	Florere Game
구글플레이	2025-07-10	16	FC 모바일	NEXON Company
구글플레이	2025-07-10	17	킹샷:Kingshot	Century Games PTE. LTD.
구글플레이	2025-07-10	18	리니지2M	NCSOFT
구글플레이	2025-07-10	19	메이플스토리M	NEXON Company
구글플레이	2025-07-10	20	승리의 여신: 니케	Level Infinite
구글플레이	2025-07-10	21	DK모바일 리본	NTRANCE CORP.
구글플레이	2025-07-10	22	I9: 인페르노 나인 - <나만뉴> 콜라보	Leniu Technology Co., Limited
구글플레이	2025-07-10	23	한게임 섯다&맞고	NHN Corp.
구글플레이	2025-07-10	24	레전드 오브 이미르	Wemade Co., Ltd
구글플레이	2025-07-10	25	냥코 대전쟁	PONOS Corporation
구글플레이	2025-07-10	26	EA SPORTS FC Online M	NEXON Company
구글플레이	2025-07-10	27	Dark War Survival	Florere Game
구글플레이	2025-07-10	28	소녀전선2: 망명	HaoPlay Limited
구글플레이	2025-07-10	29	명조:워더링 웨이브	HK KURO GAMES LIMITED
구글플레이	2025-07-10	30	씨사이드 익스케이프: 합성 & 스토리 게임	Microfun Limited
구글플레이	2025-07-10	31	탑 히어로즈	RiverGame
구글플레이	2025-07-10	32	운빨존많겜	111%
구글플레이	2025-07-10	33	SD건담 지 제네레이션 이터널	Bandai Namco Entertainment Inc.
구글플레이	2025-07-10	34	피망 포커 : 카지노 로얄 - 홀덤, 7포커, 바둑이	NEOWIZ corp
구글플레이	2025-07-10	35	가십하버: 합성 & 스토리 게임	Microfun Limited
구글플레이	2025-07-10	36	실버 앤 블러드:뱀파이어 RPG	Vizta Games
구글플레이	2025-07-10	37	브라운더스트2 - 어드벤처 RPG	NEOWIZ
구글플레이	2025-07-10	38	리니지M(12)	NCSOFT
구글플레이	2025-07-10	39	트릭컬 리바이브	EPIDGames
구글플레이	2025-07-10	40	아키에이지 워	Kakao Games Corp.
구글플레이	2025-07-10	41	원신	COGNOSPHERE PTE. LTD.
구글플레이	2025-07-10	42	꿈의 정원 (Gardenscapes)	Playrix
구글플레이	2025-07-10	43	우마무스메 프리티 더비	Kakao Games Corp.
구글플레이	2025-07-10	44	브롤스타즈	Supercell
구글플레이	2025-07-10	45	쿠키런: 킹덤	Devsisters Corporation
구글플레이	2025-07-10	46	나이트 크로우	Wemade Co., Ltd
구글플레이	2025-07-10	47	로드나인	Smilegate Holdings, Inc
구글플레이	2025-07-10	48	랜드 오브 제일	SINGAPORE JUST GAME TECHNOLOGY PTE. LTD.
구글플레이	2025-07-10	49	리니지2 레볼루션	Netmarble
구글플레이	2025-07-10	50	컴투스프로야구V25	Com2uS
구글플레이	2025-07-10	51	버섯커 키우기-3000뽑기 증정	Joy Nice Games
구글플레이	2025-07-10	52	문명: 연맹의 시대	2K, Inc. - a Take-Two Interactive affiliate
구글플레이	2025-07-10	53	모에라이: 운명의 계약	Ujoy Games
구글플레이	2025-07-10	54	로얄 킹덤 (Royal Kingdom)	Dream Games, Ltd.
구글플레이	2025-07-10	55	레이븐2	Netmarble
구글플레이	2025-07-10	56	클래시 로얄	Supercell
구글플레이	2025-07-10	57	캔디크러쉬사가 (Candy Crush Saga)	King
구글플레이	2025-07-10	58	eFootball™	KONAMI
구글플레이	2025-07-10	59	에그몬 월드:저니	Apollo Technology Co.,Ltd
구글플레이	2025-07-10	60	Travel Town - 결합 어드벤처	Magmatic Games LTD
구글플레이	2025-07-10	61	히어로 클래시: 강아지를 지키자	Glaciers Game
구글플레이	2025-07-10	62	블레이드&소울 레볼루션	Netmarble
구글플레이	2025-07-10	63	젠레스 존 제로	COGNOSPHERE PTE. LTD.
구글플레이	2025-07-10	64	콩콩던전	Habby
구글플레이	2025-07-10	65	러브앤딥스페이스	InFold Games
구글플레이	2025-07-10	66	Limbus Company	Project Moon
구글플레이	2025-07-10	67	한게임 신맞고 : 대한민국 원조 고스톱	NHN Corp.
구글플레이	2025-07-10	68	꿈의 집 (Homescapes)	Playrix
구글플레이	2025-07-10	69	피망 뉴맞고: 고스톱 대표 맞고 게임	NEOWIZ corp
구글플레이	2025-07-10	70	메카 어셈블:좀비 스웜	ONEMT SGP
구글플레이	2025-07-10	71	궁수의 전설2	Habby
구글플레이	2025-07-10	72	Top Girl	A3Games
구글플레이	2025-07-10	73	컴투스프로야구2025	Com2uS
구글플레이	2025-07-10	74	던전앤파이터 모바일	NEXON Company
구글플레이	2025-07-10	75	사북성:언데드	Star Entertainment HK
구글플레이	2025-07-10	76	서머너즈 워 X TEKKEN 8	Com2uS
구글플레이	2025-07-10	77	삼국지 전략판	Qookka Games
구글플레이	2025-07-10	78	패스 오브 라이징	SPGFun
구글플레이	2025-07-10	79	클래시 오브 클랜	Supercell
구글플레이	2025-07-10	80	꿈의 마을 (Township)	Playrix
구글플레이	2025-07-10	81	퍼즐 오브 Z	BLANCOZONE NETWORK CO., LIMITED
구글플레이	2025-07-10	82	데블M	37 Mobile Games
구글플레이	2025-07-10	83	마피아42	TEAM42
구글플레이	2025-07-10	84	기적의 검	4399 KOREA
구글플레이	2025-07-10	85	왔더벅: 미니 삼국-라바 콜라보 실시!	BYTEFUN GAMES PTE. LTD.
구글플레이	2025-07-10	86	배틀그라운드	KRAFTON, Inc.
구글플레이	2025-07-10	87	뮤 모나크2	Webzen Inc.
구글플레이	2025-07-10	88	레이싱 마스터(Racing Master)	Exptional Global
구글플레이	2025-07-10	89	이세계 판타지 라이프	ESTARGAMES
구글플레이	2025-07-10	90	MLB 9이닝스 25	Com2uS
구글플레이	2025-07-10	91	미르2: 깨어난 사북성	HK ZHILI YAOAN LIMITED
구글플레이	2025-07-10	92	라이즈 오브 킹덤즈	LilithGames
구글플레이	2025-07-10	93	뮤 모나크	Webzen Inc.
구글플레이	2025-07-10	94	에이지 오브 제트: 타워 디펜스	CamelStudio
구글플레이	2025-07-10	95	패밀리 아일랜드 - 농장모험게임	Melsoft Games Ltd
구글플레이	2025-07-10	96	카트라이더 러쉬플러스	NEXON Company
구글플레이	2025-07-10	97	WPL : 홀덤, 토너먼트, 오마하, 올인폴드, 픽앤고	Zempot INC.
구글플레이	2025-07-10	98	인생존망겜	37GAMES
구글플레이	2025-07-10	99	포켓몬 카드 게임 Pocket	The Pok?mon Company
구글플레이	2025-07-10	100	맛있는 여행: 합성 게임	Century Games PTE. LTD.
구글플레이	2025-07-11	1	리니지M	NCSOFT
구글플레이	2025-07-11	2	오딘: 발할라 라이징	Kakao Games Corp.
구글플레이	2025-07-11	3	마비노기 모바일	NEXON Company
구글플레이	2025-07-11	4	WOS: 화이트아웃 서바이벌	Century Games PTE. LTD.
구글플레이	2025-07-11	5	라스트 워: 서바이벌	FUNFLY PTE. LTD.
구글플레이	2025-07-11	6	RF 온라인 넥스트	Netmarble
구글플레이	2025-07-11	7	붕괴: 스타레일	COGNOSPHERE PTE. LTD.
구글플레이	2025-07-11	8	세븐나이츠 리버스	Netmarble
구글플레이	2025-07-11	9	갓깨비 키우기-999뽑기 증정	Joy Nice Games
구글플레이	2025-07-11	10	Roblox	Roblox Corporation
구글플레이	2025-07-11	11	로얄 매치 Royal Match	Dream Games, Ltd.
구글플레이	2025-07-11	12	한게임포커 클래식 : 7포커 홀덤 섯다 훌라 슬롯	NHN Corp.
구글플레이	2025-07-11	13	한게임 포커	NHN Corp.
구글플레이	2025-07-11	14	리니지W	NCSOFT
구글플레이	2025-07-11	15	Last Z: Survival Shooter	Florere Game
구글플레이	2025-07-11	16	FC 모바일	NEXON Company
구글플레이	2025-07-11	17	킹샷:Kingshot	Century Games PTE. LTD.
구글플레이	2025-07-11	18	리니지2M	NCSOFT
구글플레이	2025-07-11	19	메이플스토리M	NEXON Company
구글플레이	2025-07-11	20	승리의 여신: 니케	Level Infinite
구글플레이	2025-07-11	21	DK모바일 리본	NTRANCE CORP.
구글플레이	2025-07-11	22	I9: 인페르노 나인 - <나만뉴> 콜라보	Leniu Technology Co., Limited
구글플레이	2025-07-11	23	한게임 섯다&맞고	NHN Corp.
구글플레이	2025-07-11	24	레전드 오브 이미르	Wemade Co., Ltd
구글플레이	2025-07-11	25	냥코 대전쟁	PONOS Corporation
구글플레이	2025-07-11	26	EA SPORTS FC Online M	NEXON Company
구글플레이	2025-07-11	27	Dark War Survival	Florere Game
구글플레이	2025-07-11	28	소녀전선2: 망명	HaoPlay Limited
구글플레이	2025-07-11	29	명조:워더링 웨이브	HK KURO GAMES LIMITED
구글플레이	2025-07-11	30	씨사이드 익스케이프: 합성 & 스토리 게임	Microfun Limited
구글플레이	2025-07-11	31	탑 히어로즈	RiverGame
구글플레이	2025-07-11	32	운빨존많겜	111%
구글플레이	2025-07-11	33	SD건담 지 제네레이션 이터널	Bandai Namco Entertainment Inc.
구글플레이	2025-07-11	34	피망 포커 : 카지노 로얄 - 홀덤, 7포커, 바둑이	NEOWIZ corp
구글플레이	2025-07-11	35	가십하버: 합성 & 스토리 게임	Microfun Limited
구글플레이	2025-07-11	36	실버 앤 블러드:뱀파이어 RPG	Vizta Games
구글플레이	2025-07-11	37	브라운더스트2 - 어드벤처 RPG	NEOWIZ
구글플레이	2025-07-11	38	리니지M(12)	NCSOFT
구글플레이	2025-07-11	39	트릭컬 리바이브	EPIDGames
구글플레이	2025-07-11	40	아키에이지 워	Kakao Games Corp.
구글플레이	2025-07-11	41	원신	COGNOSPHERE PTE. LTD.
구글플레이	2025-07-11	42	꿈의 정원 (Gardenscapes)	Playrix
구글플레이	2025-07-11	43	우마무스메 프리티 더비	Kakao Games Corp.
구글플레이	2025-07-11	44	브롤스타즈	Supercell
구글플레이	2025-07-11	45	쿠키런: 킹덤	Devsisters Corporation
구글플레이	2025-07-11	46	나이트 크로우	Wemade Co., Ltd
구글플레이	2025-07-11	47	로드나인	Smilegate Holdings, Inc
구글플레이	2025-07-11	48	랜드 오브 제일	SINGAPORE JUST GAME TECHNOLOGY PTE. LTD.
구글플레이	2025-07-11	49	리니지2 레볼루션	Netmarble
구글플레이	2025-07-11	50	컴투스프로야구V25	Com2uS
구글플레이	2025-07-11	51	버섯커 키우기-3000뽑기 증정	Joy Nice Games
구글플레이	2025-07-11	52	문명: 연맹의 시대	2K, Inc. - a Take-Two Interactive affiliate
구글플레이	2025-07-11	53	모에라이: 운명의 계약	Ujoy Games
구글플레이	2025-07-11	54	로얄 킹덤 (Royal Kingdom)	Dream Games, Ltd.
구글플레이	2025-07-11	55	레이븐2	Netmarble
구글플레이	2025-07-11	56	클래시 로얄	Supercell
구글플레이	2025-07-11	57	캔디크러쉬사가 (Candy Crush Saga)	King
구글플레이	2025-07-11	58	eFootball™	KONAMI
구글플레이	2025-07-11	59	에그몬 월드:저니	Apollo Technology Co.,Ltd
구글플레이	2025-07-11	60	Travel Town - 결합 어드벤처	Magmatic Games LTD
구글플레이	2025-07-11	61	히어로 클래시: 강아지를 지키자	Glaciers Game
구글플레이	2025-07-11	62	블레이드&소울 레볼루션	Netmarble
구글플레이	2025-07-11	63	젠레스 존 제로	COGNOSPHERE PTE. LTD.
구글플레이	2025-07-11	64	콩콩던전	Habby
구글플레이	2025-07-11	65	러브앤딥스페이스	InFold Games
구글플레이	2025-07-11	66	Limbus Company	Project Moon
구글플레이	2025-07-11	67	한게임 신맞고 : 대한민국 원조 고스톱	NHN Corp.
구글플레이	2025-07-11	68	꿈의 집 (Homescapes)	Playrix
구글플레이	2025-07-11	69	피망 뉴맞고: 고스톱 대표 맞고 게임	NEOWIZ corp
구글플레이	2025-07-11	70	메카 어셈블:좀비 스웜	ONEMT SGP
구글플레이	2025-07-11	71	궁수의 전설2	Habby
구글플레이	2025-07-11	72	Top Girl	A3Games
구글플레이	2025-07-11	73	컴투스프로야구2025	Com2uS
구글플레이	2025-07-11	74	던전앤파이터 모바일	NEXON Company
구글플레이	2025-07-11	75	사북성:언데드	Star Entertainment HK
구글플레이	2025-07-11	76	서머너즈 워 X TEKKEN 8	Com2uS
구글플레이	2025-07-11	77	삼국지 전략판	Qookka Games
구글플레이	2025-07-11	78	패스 오브 라이징	SPGFun
구글플레이	2025-07-11	79	클래시 오브 클랜	Supercell
구글플레이	2025-07-11	80	꿈의 마을 (Township)	Playrix
구글플레이	2025-07-11	81	퍼즐 오브 Z	BLANCOZONE NETWORK CO., LIMITED
구글플레이	2025-07-11	82	데블M	37 Mobile Games
구글플레이	2025-07-11	83	마피아42	TEAM42
구글플레이	2025-07-11	84	기적의 검	4399 KOREA
구글플레이	2025-07-11	85	왔더벅: 미니 삼국-라바 콜라보 실시!	BYTEFUN GAMES PTE. LTD.
구글플레이	2025-07-11	86	배틀그라운드	KRAFTON, Inc.
구글플레이	2025-07-11	87	뮤 모나크2	Webzen Inc.
구글플레이	2025-07-11	88	레이싱 마스터(Racing Master)	Exptional Global
구글플레이	2025-07-11	89	이세계 판타지 라이프	ESTARGAMES
구글플레이	2025-07-11	90	MLB 9이닝스 25	Com2uS
구글플레이	2025-07-11	91	미르2: 깨어난 사북성	HK ZHILI YAOAN LIMITED
구글플레이	2025-07-11	92	라이즈 오브 킹덤즈	LilithGames
구글플레이	2025-07-11	93	뮤 모나크	Webzen Inc.
구글플레이	2025-07-11	94	에이지 오브 제트: 타워 디펜스	CamelStudio
구글플레이	2025-07-11	95	패밀리 아일랜드 - 농장모험게임	Melsoft Games Ltd
구글플레이	2025-07-11	96	카트라이더 러쉬플러스	NEXON Company
구글플레이	2025-07-11	97	WPL : 홀덤, 토너먼트, 오마하, 올인폴드, 픽앤고	Zempot INC.
구글플레이	2025-07-11	98	인생존망겜	37GAMES
구글플레이	2025-07-11	99	포켓몬 카드 게임 Pocket	The Pok?mon Company
구글플레이	2025-07-11	100	맛있는 여행: 합성 게임	Century Games PTE. LTD.
구글플레이	2025-07-12	1	리니지M	NCSOFT
구글플레이	2025-07-12	2	라스트 워: 서바이벌	FUNFLY PTE. LTD.
구글플레이	2025-07-12	3	WOS: 화이트아웃 서바이벌	Century Games PTE. LTD.
구글플레이	2025-07-12	4	오딘: 발할라 라이징	Kakao Games Corp.
구글플레이	2025-07-12	5	마비노기 모바일	NEXON Company
구글플레이	2025-07-12	6	세븐나이츠 리버스	Netmarble
구글플레이	2025-07-12	7	RF 온라인 넥스트	Netmarble
구글플레이	2025-07-12	8	Roblox	Roblox Corporation
구글플레이	2025-07-12	9	로얄 매치 Royal Match	Dream Games, Ltd.
구글플레이	2025-07-12	10	갓깨비 키우기-999뽑기 증정	Joy Nice Games
구글플레이	2025-07-12	11	붕괴: 스타레일	COGNOSPHERE PTE. LTD.
구글플레이	2025-07-12	12	킹샷:Kingshot	Century Games PTE. LTD.
구글플레이	2025-07-12	13	Last Z: Survival Shooter	Florere Game
구글플레이	2025-07-12	14	리니지W	NCSOFT
구글플레이	2025-07-12	15	FC 모바일	NEXON Company
구글플레이	2025-07-12	16	메이플스토리M	NEXON Company
구글플레이	2025-07-12	17	승리의 여신: 니케	Level Infinite
구글플레이	2025-07-12	18	I9: 인페르노 나인 - <나만뉴> 콜라보	Leniu Technology Co., Limited
구글플레이	2025-07-12	19	레전드 오브 이미르	Wemade Co., Ltd
구글플레이	2025-07-12	20	한게임 포커	NHN Corp.
구글플레이	2025-07-12	21	씨사이드 익스케이프: 합성 & 스토리 게임	Microfun Limited
구글플레이	2025-07-12	22	DK모바일 리본	NTRANCE CORP.
구글플레이	2025-07-12	23	Dark War Survival	Florere Game
구글플레이	2025-07-12	24	한게임포커 클래식 : 7포커 홀덤 섯다 훌라 슬롯	NHN Corp.
구글플레이	2025-07-12	25	가십하버: 합성 & 스토리 게임	Microfun Limited
구글플레이	2025-07-12	26	탑 히어로즈	RiverGame
구글플레이	2025-07-12	27	리니지2M	NCSOFT
구글플레이	2025-07-12	28	냥코 대전쟁	PONOS Corporation
구글플레이	2025-07-12	29	소녀전선2: 망명	HaoPlay Limited
구글플레이	2025-07-12	30	운빨존많겜	111%
구글플레이	2025-07-12	31	실버 앤 블러드:뱀파이어 RPG	Vizta Games
구글플레이	2025-07-12	32	EA SPORTS FC Online M	NEXON Company
구글플레이	2025-07-12	33	브롤스타즈	Supercell
구글플레이	2025-07-12	34	한게임 섯다&맞고	NHN Corp.
구글플레이	2025-07-12	35	명조:워더링 웨이브	HK KURO GAMES LIMITED
구글플레이	2025-07-12	36	꿈의 정원 (Gardenscapes)	Playrix
구글플레이	2025-07-12	37	브라운더스트2 - 어드벤처 RPG	NEOWIZ
구글플레이	2025-07-12	38	원신	COGNOSPHERE PTE. LTD.
구글플레이	2025-07-12	39	피망 포커 : 카지노 로얄 - 홀덤, 7포커, 바둑이	NEOWIZ corp
구글플레이	2025-07-12	40	클래시 로얄	Supercell
구글플레이	2025-07-12	41	SD건담 지 제네레이션 이터널	Bandai Namco Entertainment Inc.
구글플레이	2025-07-12	42	랜드 오브 제일	SINGAPORE JUST GAME TECHNOLOGY PTE. LTD.
구글플레이	2025-07-12	43	아키에이지 워	Kakao Games Corp.
구글플레이	2025-07-12	44	에그몬 월드:저니	Apollo Technology Co.,Ltd
구글플레이	2025-07-12	45	리니지M(12)	NCSOFT
구글플레이	2025-07-12	46	사북성:언데드	Star Entertainment HK
구글플레이	2025-07-12	47	eFootball™	KONAMI
구글플레이	2025-07-12	48	로얄 킹덤 (Royal Kingdom)	Dream Games, Ltd.
구글플레이	2025-07-12	49	캔디크러쉬사가 (Candy Crush Saga)	King
구글플레이	2025-07-12	50	나이트 크로우	Wemade Co., Ltd
구글플레이	2025-07-12	51	우마무스메 프리티 더비	Kakao Games Corp.
구글플레이	2025-07-12	52	컴투스프로야구V25	Com2uS
구글플레이	2025-07-12	53	Travel Town - 결합 어드벤처	Magmatic Games LTD
구글플레이	2025-07-12	54	인생존망겜	37GAMES
구글플레이	2025-07-12	55	트릭컬 리바이브	EPIDGames
구글플레이	2025-07-12	56	쿠키런: 킹덤	Devsisters Corporation
구글플레이	2025-07-12	57	Top Girl	A3Games
구글플레이	2025-07-12	58	모에라이: 운명의 계약	Ujoy Games
구글플레이	2025-07-12	59	리니지2 레볼루션	Netmarble
구글플레이	2025-07-12	60	문명: 연맹의 시대	2K, Inc. - a Take-Two Interactive affiliate
구글플레이	2025-07-12	61	레이븐2	Netmarble
구글플레이	2025-07-12	62	꿈의 집 (Homescapes)	Playrix
구글플레이	2025-07-12	63	히어로 클래시: 강아지를 지키자	Glaciers Game
구글플레이	2025-07-12	64	에픽세븐	Smilegate Holdings, Inc
구글플레이	2025-07-12	65	블레이드&소울 레볼루션	Netmarble
구글플레이	2025-07-12	66	배틀그라운드	KRAFTON, Inc.
구글플레이	2025-07-12	67	로드나인	Smilegate Holdings, Inc
구글플레이	2025-07-12	68	피망 뉴맞고: 고스톱 대표 맞고 게임	NEOWIZ corp
구글플레이	2025-07-12	69	콩콩던전	Habby
구글플레이	2025-07-12	70	Limbus Company	Project Moon
구글플레이	2025-07-12	71	메카 어셈블:좀비 스웜	ONEMT SGP
구글플레이	2025-07-12	72	꿈의 마을 (Township)	Playrix
구글플레이	2025-07-12	73	버섯커 키우기-3000뽑기 증정	Joy Nice Games
구글플레이	2025-07-12	74	러브앤딥스페이스	InFold Games
구글플레이	2025-07-12	75	한게임 신맞고 : 대한민국 원조 고스톱	NHN Corp.
